MMSI,Name,category,scene,timestamp_utc,sequence_index,observation_count,ais_lat,ais_lon,kalman_lat,kalman_lon,sog,cog,kalman_est_sog,kalman_est_cog,trajectory_point_source
351237000,KM HAKATA,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-2.43,118.62999725,-2.43,118.62999725,3.061400,191.302369,3.0614,191.302369,kalman_est_lat_lon_from_AIS_position_updates
351780000,MARTORELL,Cargo,S1A_IW_GRDH_1SDV_20260202T114315_20260202T114340_063040_07E931_1FD8,2026-02-02T11:43:15.000Z,1,1,5.25,97.91000366,5.25,97.91000366,17.266802,123.792949,17.266802,123.792949,kalman_est_lat_lon_from_AIS_position_updates
352001411,HH PEARL,Cargo,S1A_IW_GRDH_1SDV_20260210T211716_20260210T211741_063162_07EDB8_A355,2026-02-10T21:17:16.000Z,1,1,2.15,126.65000153,2.15,126.65000153,18.491025,35.728985,18.491025,35.728985,kalman_est_lat_lon_from_AIS_position_updates
352001619,PH MINH GIANG,Cargo,S1A_IW_GRDH_1SDV_20260201T231925_20260201T231950_063032_07E8EF_38F2,2026-02-01T23:19:25.000Z,1,1,6.94,96.08000183,6.94,96.08000183,5.922181,135.204454,5.922181,135.204454,kalman_est_lat_lon_from_AIS_position_updates
352002263,FORTUNE 9,Cargo,S1A_IW_GRDH_1SDV_20260201T214413_20260201T214438_063031_07E8E6_4D01,2026-02-01T21:44:13.000Z,1,1,-5.11,119.37000275,-5.11,119.37000275,0.600405,180.000000,0.600405,180,kalman_est_lat_lon_from_AIS_position_updates
352002718,LOWLANDS FIDELITY,Cargo,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,2026-02-01T21:42:08.000Z,1,1,2.21,121.12999725,2.21,121.12999725,1.697747,224.984997,1.697747,224.984997,kalman_est_lat_lon_from_AIS_position_updates
352002973,EAGLE,Cargo,S1A_IW_GRDH_1SDV_20260202T222305_20260202T222334_063046_07E974_1D20,2026-02-02T22:23:05.000Z,1,1,3.08,109.44000244,3.08,109.44000244,10.051378,287.381952,10.051378,287.381952,kalman_est_lat_lon_from_AIS_position_updates
352004320,FORTUNE RICH,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-3.8,118.09999847,-3.8,118.09999847,9.159505,211.551140,9.159505,211.55114,kalman_est_lat_lon_from_AIS_position_updates
352004613,BRIGHT KING,Cargo,S1A_IW_GRDH_1SDV_20260209T113244_20260209T113309_063141_07ECFF_9540,2026-02-09T11:32:44.000Z,1,1,-2.79,101.08999634,-2.79,101.08999634,9.989227,327.293842,9.989227,327.293842,kalman_est_lat_lon_from_AIS_position_updates
352004796,HE TAI TONG 6,Cargo,S1A_IW_GRDH_1SDV_20260208T213451_20260208T213516_063133_07ECB4_0002,2026-02-08T21:34:51.000Z,1,1,-1.08,122.93000031,-1.08,122.93000031,12.318028,46.970996,12.318028,46.970996,kalman_est_lat_lon_from_AIS_position_updates
352004927,NORSE STRIDE,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-3.12,118.51999664,-3.12,118.51999664,3.002027,0.000000,3.002027,0,kalman_est_lat_lon_from_AIS_position_updates
352005955,PALADIN TRADER,Cargo,S1A_IW_GRDH_1SDV_20260205T102546_20260205T102615_063082_07EACD_4837,2026-02-05T10:25:46.000Z,1,1,-5.94,118.98000336,-5.94,118.98000336,3.045827,258.628587,3.045827,258.628587,kalman_est_lat_lon_from_AIS_position_updates
352425000,NAVIOS BONHEUR,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-3.3,118.47000122,-3.3,118.47000122,17.076435,190.107321,17.076435,190.107321,kalman_est_lat_lon_from_AIS_position_updates
352980794,FIRST PENGUIN,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-2.66,118.55000305,-2.66,118.55000305,17.453002,356.059692,17.453002,356.059692,kalman_est_lat_lon_from_AIS_position_updates
353062000,ORIENTAL WIND,Cargo,S1A_IW_GRDH_1SDV_20260201T214413_20260201T214438_063031_07E8E6_4D01,2026-02-01T21:44:13.000Z,1,1,-5.13,119.37999725,-5.13,119.37999725,0.075051,180.000000,0.075051,180,kalman_est_lat_lon_from_AIS_position_updates
353216000,CRYSTAL TIGER,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-3.85,118.26000214,-3.85,118.26000214,7.323294,34.931909,7.323294,34.931909,kalman_est_lat_lon_from_AIS_position_updates
354205000,CENTENNIAL HARMONY,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-2.83,118.55999756,-2.83,118.55999756,14.409730,0.000000,14.40973,0,kalman_est_lat_lon_from_AIS_position_updates
356676000,KEY FRONTIER,Cargo,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58.000Z,1,1,0.14,119.18000031,0.14,119.18000031,16.486601,10.492111,16.486601,10.492111,kalman_est_lat_lon_from_AIS_position_updates
356853000,MAERSK JAKARTA,Fishing,S1A_IW_GRDH_1SDV_20260217T224735_20260217T224800_063265_07F199_4A59,2026-02-17T22:47:35.000Z,1,1,2.72,105.13999939,2.72,105.13999939,3.232714,21.775771,3.232714,21.775771,kalman_est_lat_lon_from_AIS_position_updates
357007000,CHANG LONG,Cargo,S1A_IW_GRDH_1SDV_20260208T213336_20260208T213401_063133_07ECB4_C20A,2026-02-08T21:33:36.000Z,1,1,3.1,122.62999725,3.1,122.62999725,9.026025,356.190676,9.026025,356.190676,kalman_est_lat_lon_from_AIS_position_updates
370354000,HF FORTUNE,Cargo,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58.000Z,1,1,-0.72,119.80999756,-0.72,119.80999756,2.547156,135.003518,2.547156,135.003518,kalman_est_lat_lon_from_AIS_position_updates
372134000,XING HE SHENG,Cargo,S1A_IW_GRDH_1SDV_20260209T221657_20260209T221722_063148_07ED3E_8E5E,2026-02-09T22:16:57.000Z,1,1,-4.23,110.36000061,-4.23,110.36000061,13.395364,116.636895,13.395364,116.636895,kalman_est_lat_lon_from_AIS_position_updates
372188000,DANCEWOOD SW,Cargo,S1A_IW_GRDH_1SDV_20260205T224825_20260205T224850_063090_07EB0F_2593,2026-02-05T22:48:25.000Z,1,1,1.14,103.77999878,1.14,103.77999878,13.689028,74.740120,13.689028,74.74012,kalman_est_lat_lon_from_AIS_position_updates
372746000,BMC ENDORA,Cargo,S1A_IW_GRDH_1SDV_20260209T113334_20260209T113359_063141_07ECFF_5730,2026-02-09T11:33:34.000Z,1,1,1.71,101.45999908,1.71,101.45999908,1.897823,288.443707,1.897823,288.443707,kalman_est_lat_lon_from_AIS_position_updates
372900000,CAPE ESPERANZA,Cargo,S1A_IW_GRDH_1SDV_20260210T211741_20260210T211806_063162_07EDB8_4A98,2026-02-10T21:17:41.000Z,1,1,1.89,126.51999664,1.89,126.51999664,21.048454,176.729973,21.048454,176.729973,kalman_est_lat_lon_from_AIS_position_updates
372904000,CORAL TOPAZ,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-2.52,118.55000305,-2.52,118.55000305,2.475317,194.015794,2.475317,194.015794,kalman_est_lat_lon_from_AIS_position_updates
374986000,SPRING GLORY,Cargo,S1A_IW_GRDH_1SDV_20260208T213516_20260208T213541_063133_07ECB4_6E6C,2026-02-08T21:35:16.000Z,1,1,-2.81,122.22000122,-2.81,122.22000122,0.000000,0.000000,0,0,kalman_est_lat_lon_from_AIS_position_updates
374987000,JEWEL,Passenger,S1A_IW_GRDH_1SDV_20260209T113359_20260209T113424_063142_07ECFF_5A35,2026-02-09T11:33:59.000Z,1,1,4.1409825,100.78308105,4.1409825,100.78308105,13.569218,43.582358,13.569218,43.582358,kalman_est_lat_lon_from_AIS_position_updates
405000246,MEGHNA PARADISE,Cargo,S1A_IW_GRDH_1SDV_20260207T223215_20260207T223240_063119_07EC28_F521,2026-02-07T22:32:15.000Z,1,1,-1.52,107.97000122,-1.52,107.97000122,8.924286,137.737336,8.924286,137.737336,kalman_est_lat_lon_from_AIS_position_updates
405000273,MEGHNA HARMONY,Cargo,S1A_IW_GRDH_1SDV_20260201T232015_20260201T232040_063032_07E8EF_0FB9,2026-02-01T23:20:15.000Z,1,1,4.6,95.36000061,4.6,95.36000061,0.598599,270.000401,0.598599,270.000401,kalman_est_lat_lon_from_AIS_position_updates
