MMSI,trajectory_time,raw_lat,raw_lon,kalman_lat,kalman_lon,trajectory_source,raw_x,raw_y,trajectory_kalman_x,trajectory_kalman_y
525000555,2026-03-07 11:15:44+00:00,-4.39,107.16999817,-4.39,107.16999817,new\metadata\ais_trajectory_points_raw_vs_kalman.csv,20800.451903654546,3819.8108671588193,20800.451903654546,3819.8108671588193
525006283,2026-03-07 11:15:44+00:00,-3.82,106.73999786,-3.82,106.73999786,new\metadata\ais_trajectory_points_raw_vs_kalman.csv,17475.63008245122,10887.929952622682,17475.63008245122,10887.929952622682
525210000,2026-03-07 11:15:44+00:00,-4.52,107.41999817,-4.52,107.41999817,new\metadata\ais_trajectory_points_raw_vs_kalman.csv,23204.20264108471,1847.9473882888633,23204.20264108471,1847.9473882888633
525601104,2026-03-07 11:15:44+00:00,-4.28,107.41999817,-4.28,107.41999817,new\metadata\ais_trajectory_points_raw_vs_kalman.csv,23770.591913210596,4398.456744423892,23770.591913210596,4398.456744423892
525801901,2026-03-07 11:15:44+00:00,-3.92,107.40000153,-3.92,107.40000153,new\metadata\ais_trajectory_points_raw_vs_kalman.csv,24402.255776773844,8272.07834217371,24402.255776773844,8272.07834217371
525901978,2026-03-07 11:15:44+00:00,-6.0,108.80000305,-6.0,108.80000305,new\metadata\ais_trajectory_points_raw_vs_kalman.csv,34625.00032144131,-17169.912882881046,34625.00032144131,-17169.912882881046
