scene,scene_time_utc,MMSI,Name,Ship_Type,gfw_shiptype,Center_latitude,Center_longitude,Sog,Cog,AIS_Latitude,AIS_Longitude,sar_ais_distance_km,sar_projected_distance_km,sar_kalman_est_distance_km,AIS_update_time_gap_hours,ais_position_time_gap_hours,kalman_dt_hours,kalman_pred_residual_m,kalman_mmsi_observation_count,patch_rgb_vv_actual_file,patch_rgb_vh_actual_file,source_file,candidate_type,score,rule,evidence,neighbor_mmsi,neighbor_distance_km,neighbor_sog
S1A_IW_GRDH_1SDV_20260215T104128_20260215T104157_063228_07F03A_350C,2026-02-15T10:41:28Z,525600097,BANDAR NELAYAN 288,FISHING,FISHING,-9.13032311587397,115.24236940144866,5.791166,269.986807,-15.3,109.69999695,912.7095158224097,,912.7095158224097,84.308889,,,,1,Fishing100_Fishing_x9852_y15018.png,Fishing100_Fishing_x9852_y15018_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 84.31 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260218T092801_20260218T092830_063271_07F1D8_845F,2026-02-18T09:28:01Z,525100000,KLM GHINAYAH,FISHING,FISHING,-7.250903200545811,134.39561950583416,0.0,0.0,-5.1,119.40000153,1674.7725950480642,,1674.7725950480642,1799.533056,,227.872222,0.0,5,Fishing100_Fishing_x22543_y18931.png,Fishing100_Fishing_x22543_y18931_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1799.53 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260218T201449_20260218T201514_063278_07F21A_600D,2026-02-18T20:14:49Z,525700486,JAYA KALBAR-I,FISHING,FISHING,-9.088796353925918,139.9663203168587,0.106957,289.92528,-8.4,139.30000305,105.96559276693944,,105.96559276693944,764.246944,,,,1,Fishing100_Fishing_x7889_y5160.png,Fishing100_Fishing_x7889_y5160_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 764.25 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260218T215107_20260218T215132_063279_07F220_2CED,2026-02-18T21:51:07Z,525900700,,FISHING,FISHING,-0.8631566503019269,117.53788291033273,0.01799,30.963784,-0.8,127.30000305,1085.4077907758096,,1085.4077907758096,920.851944,,,,2,Fishing100_Fishing_x10774_y12122.png,Fishing100_Fishing_x10774_y12122_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 920.85 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260218T215132_20260218T215157_063279_07F220_27B7,2026-02-18T21:51:32Z,525900233,,FISHING,FISHING,-2.0446100027810314,116.90501148326548,6.004054,0.0,-1.9,116.90000153,16.089556478954187,,16.089556478954187,1207.858889,,,,1,Fishing100_Fishing_x7319_y8522.png,Fishing100_Fishing_x7319_y8522_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1207.86 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260219T205511_20260219T205536_063293_07F2AC_3ED7,2026-02-19T20:55:11Z,525100000,KLM GHINAYAH,FISHING,FISHING,-6.906010091095724,131.56009405895136,0.0,0.0,-5.1,119.40000153,1359.555851615784,,1359.555851615784,1764.080278,,35.452778,0.0,5,Fishing100_Fishing_x21602_y12145.png,Fishing100_Fishing_x21602_y12145_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1764.08 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260221T095218_20260221T095242_063315_07F387_A808,2026-02-21T09:52:18Z,525600493,,FISHING,FISHING,-7.90793622972759,127.75149477652538,1.330884,296.801651,-8.4,136.80000305,997.4556301238091,,997.4556301238091,579.871667,,,,1,Fishing112_Fishing_x12777_y6839.png,Fishing112_Fishing_x12777_y6839_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 579.87 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260302T215107_20260302T215132_063454_07F8CE_E5BD,2026-03-02T21:51:07Z,525100000,KLM GHINAYAH,FISHING,FISHING,-0.2782666130994196,117.57658836947402,0.0,0.0,-5.1,119.40000153,573.1096050950356,,573.1096050950356,1499.148056,,264.932222,0.0,5,Fishing112_Fishing_x11206_y5657.png,Fishing112_Fishing_x11206_y5657_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1499.15 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260302T215107_20260302T215132_063454_07F8CE_E5BD,2026-03-02T21:51:07Z,525700108,,FISHING,FISHING,-0.4140419450214532,118.89966946243584,0.0,0.0,1.5,132.8999939,1571.10699871667,,1571.10699871667,1091.851944,,,,1,Fishing112_Fishing_x25931_y7160.png,Fishing112_Fishing_x25931_y7160_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1091.85 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260302T215132_20260302T215157_063454_07F8CE_EB80,2026-03-02T21:51:32Z,525005002,BARAKUDA 02,PASSENGER,PASSENGER,-2.700562035006814,116.66882815494516,0.028934,106.466448,-6.099590858656789,123.62640380859376,858.8811164069475,,858.8800131354399,114.858889,,287.986111,9513015.427,3,Passenger_x4695_y15773_vv.png,Passenger_x4695_y15773_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 114.86 hours from scene time.,,,
